number,state,value,datetime_start,datetime_complete,duration_seconds,param_alignment.n_components,param_encoding.ridge_alpha,user_attrs_json
26,COMPLETE,0.153883526723,2026-03-03T00:11:13.307849,2026-03-03T00:12:47.014253,93.706404,65,22004.160551560046,"{""fold_scores"": {""1"": 0.15741470456123352, ""2"": 0.12952418625354767, ""3"": 0.12964557111263275, ""4"": 0.1335742324590683, ""5"": 0.23960711061954498, ""6"": 0.13353535532951355}, ""objective_metric"": ""median_r"", ""trial_seconds"": 93.58825159072876}"
27,PRUNED,0.147902897,2026-03-03T00:12:47.039323,2026-03-03T00:14:04.715080,77.675757,65,250.4244285208026,"{""fold_scores"": {""1"": 0.14580130577087402, ""2"": 0.11933144927024841, ""3"": 0.1223369687795639, ""4"": 0.12679927051067352, ""5"": 0.22524549067020416}, ""pruned_after_fold"": 5}"
28,PRUNED,0.150228838623,2026-03-03T00:14:04.729073,2026-03-03T00:15:22.520712,77.791639,85,1845.8169950806798,"{""fold_scores"": {""1"": 0.14846467971801758, ""2"": 0.12173984944820404, ""3"": 0.12396322935819626, ""4"": 0.12823815643787384, ""5"": 0.22873827815055847}, ""pruned_after_fold"": 5}"
29,COMPLETE,0.154521845281,2026-03-03T00:15:22.539404,2026-03-03T00:16:55.112537,92.573133,115,27398.621540088017,"{""fold_scores"": {""1"": 0.15799857676029205, ""2"": 0.13026612997055054, ""3"": 0.1303945779800415, ""4"": 0.1342020183801651, ""5"": 0.240586519241333, ""6"": 0.1336832493543625}, ""objective_metric"": ""median_r"", ""trial_seconds"": 92.45914149284363}"
30,COMPLETE,0.154873693983,2026-03-03T00:16:55.135572,2026-03-03T00:18:27.472066,92.336494,110,31522.661911641237,"{""fold_scores"": {""1"": 0.15828105807304382, ""2"": 0.13077309727668762, ""3"": 0.1305963695049286, ""4"": 0.13449010252952576, ""5"": 0.24110004305839539, ""6"": 0.1340014934539795}, ""objective_metric"": ""median_r"", ""trial_seconds"": 92.22307634353638}"
31,COMPLETE,0.154882247249,2026-03-03T00:18:27.494643,2026-03-03T00:19:59.855106,92.360463,115,36659.21857189811,"{""fold_scores"": {""1"": 0.15836960077285767, ""2"": 0.1308635026216507, ""3"": 0.1306929588317871, ""4"": 0.134285107254982, ""5"": 0.2411363422870636, ""6"": 0.13394597172737122}, ""objective_metric"": ""median_r"", ""trial_seconds"": 92.24772310256958}"
32,PRUNED,0.152598929405,2026-03-03T00:19:59.877348,2026-03-03T00:21:16.729317,76.851969,120,4457.838011228616,"{""fold_scores"": {""1"": 0.1513826549053192, ""2"": 0.12384617328643799, ""3"": 0.12587612867355347, ""4"": 0.12981003522872925, ""5"": 0.2320796549320221}, ""pruned_after_fold"": 5}"
33,COMPLETE,0.154830219845,2026-03-03T00:21:16.742667,2026-03-03T00:22:48.891441,92.148774,110,35510.11942835409,"{""fold_scores"": {""1"": 0.15827859938144684, ""2"": 0.13079559803009033, ""3"": 0.13065072894096375, ""4"": 0.13425025343894958, ""5"": 0.24109305441379547, ""6"": 0.1339130848646164}, ""objective_metric"": ""median_r"", ""trial_seconds"": 92.02414727210999}"
34,COMPLETE,0.154886129002,2026-03-03T00:22:48.908884,2026-03-03T00:24:21.150416,92.241532,110,36553.428335822704,"{""fold_scores"": {""1"": 0.15836670994758606, ""2"": 0.1308412253856659, ""3"": 0.1306864321231842, ""4"": 0.1343127191066742, ""5"": 0.24115683138370514, ""6"": 0.13395285606384277}, ""objective_metric"": ""median_r"", ""trial_seconds"": 92.1220588684082}"
35,PRUNED,0.149208936095,2026-03-03T00:24:21.172780,2026-03-03T00:25:37.711856,76.539076,110,1105.323704232326,"{""fold_scores"": {""1"": 0.14702990651130676, ""2"": 0.12093907594680786, ""3"": 0.12330217659473419, ""4"": 0.1272263079881668, ""5"": 0.22754721343517303}, ""pruned_after_fold"": 5}"
36,PRUNED,0.153666263819,2026-03-03T00:25:37.725176,2026-03-03T00:26:54.272922,76.547746,110,6095.980870819218,"{""fold_scores"": {""1"": 0.15237116813659668, ""2"": 0.12486471235752106, ""3"": 0.12676246464252472, ""4"": 0.13066206872463226, ""5"": 0.2336709052324295}, ""pruned_after_fold"": 5}"
37,COMPLETE,0.155027086536,2026-03-03T00:26:54.290094,2026-03-03T00:28:26.178800,91.888706,120,42125.23937369464,"{""fold_scores"": {""1"": 0.15846078097820282, ""2"": 0.1312715709209442, ""3"": 0.13066250085830688, ""4"": 0.1344371885061264, ""5"": 0.24139326810836792, ""6"": 0.13393720984458923}, ""objective_metric"": ""median_r"", ""trial_seconds"": 91.77005434036255}"
38,PRUNED,0.147785720229,2026-03-03T00:28:26.203449,2026-03-03T00:29:42.495116,76.291667,120,1.4716401311693246,"{""fold_scores"": {""1"": 0.14704929292201996, ""2"": 0.1174388974905014, ""3"": 0.12177853286266327, ""4"": 0.12777596712112427, ""5"": 0.22488591074943542}, ""pruned_after_fold"": 5}"
39,PRUNED,0.14765509665,2026-03-03T00:29:42.512269,2026-03-03T00:30:59.118820,76.606551,115,55.43564440899348,"{""fold_scores"": {""1"": 0.1453620195388794, ""2"": 0.1186549961566925, ""3"": 0.12208801507949829, ""4"": 0.12739966809749603, ""5"": 0.22477078437805176}, ""pruned_after_fold"": 5}"
