number,state,value,datetime_start,datetime_complete,duration_seconds,param_alignment.n_components,param_encoding.ridge_alpha,user_attrs_json
67,COMPLETE,0.157782293856,2026-06-03T17:50:38.211532,2026-06-03T17:51:27.650776,49.439244,165,13537.26588099669,"{""fold_scores"": {""1"": 0.15926094353199005, ""2"": 0.13517864048480988, ""3"": 0.13331300020217896, ""4"": 0.13810817897319794, ""5"": 0.2480565905570984, ""6"": 0.1327764093875885}, ""objective_metric"": ""median_r"", ""trial_seconds"": 49.32462430000305}"
68,PRUNED,0.160938563943,2026-06-03T17:51:27.671662,2026-06-03T17:52:08.814702,41.14304,165,513.5733776884922,"{""fold_scores"": {""1"": 0.15527752041816711, ""2"": 0.13216392695903778, ""3"": 0.1315867304801941, ""4"": 0.13787217438220978, ""5"": 0.24779246747493744}, ""pruned_after_fold"": 5}"
69,PRUNED,0.162045553327,2026-06-03T17:52:08.830684,2026-06-03T17:52:49.905020,41.074336,175,4046.222475724728,"{""fold_scores"": {""1"": 0.15729327499866486, ""2"": 0.13371366262435913, ""3"": 0.13313165307044983, ""4"": 0.13813632726669312, ""5"": 0.24795284867286682}, ""pruned_after_fold"": 5}"
70,PRUNED,0.160947206616,2026-06-03T17:52:49.919903,2026-06-03T17:53:30.973941,41.054038,180,8.631958232049046,"{""fold_scores"": {""1"": 0.15476283431053162, ""2"": 0.1310654878616333, ""3"": 0.1302199363708496, ""4"": 0.1399429738521576, ""5"": 0.24874480068683624}, ""pruned_after_fold"": 5}"
71,COMPLETE,0.157779914637,2026-06-03T17:53:30.991079,2026-06-03T17:54:20.520499,49.52942,160,13634.663668275582,"{""fold_scores"": {""1"": 0.15925177931785583, ""2"": 0.13517658412456512, ""3"": 0.13330818712711334, ""4"": 0.1381102204322815, ""5"": 0.24805386364459991, ""6"": 0.1327788531780243}, ""objective_metric"": ""median_r"", ""trial_seconds"": 49.436959743499756}"
72,COMPLETE,0.157639314731,2026-06-03T17:54:20.536562,2026-06-03T17:55:10.005189,49.468627,160,17735.05095666724,"{""fold_scores"": {""1"": 0.1594056785106659, ""2"": 0.1354735791683197, ""3"": 0.1332521289587021, ""4"": 0.13774697482585907, ""5"": 0.24734888970851898, ""6"": 0.13260863721370697}, ""objective_metric"": ""median_r"", ""trial_seconds"": 49.37621212005615}"
73,PRUNED,0.16240773499,2026-06-03T17:55:10.021245,2026-06-03T17:55:51.082832,41.061587,190,8689.807070753808,"{""fold_scores"": {""1"": 0.1584930419921875, ""2"": 0.13436701893806458, ""3"": 0.13343697786331177, ""4"": 0.1380319744348526, ""5"": 0.24770966172218323}, ""pruned_after_fold"": 5}"
74,PRUNED,0.162438908219,2026-06-03T17:55:51.097589,2026-06-03T17:56:32.101230,41.003641,170,31017.927578567833,"{""fold_scores"": {""1"": 0.15927566587924957, ""2"": 0.13609206676483154, ""3"": 0.13257743418216705, ""4"": 0.13764210045337677, ""5"": 0.24660727381706238}, ""pruned_after_fold"": 5}"
75,PRUNED,0.16140525043,2026-06-03T17:56:32.116746,2026-06-03T17:57:13.130410,41.013664,140,62642.14790098558,"{""fold_scores"": {""1"": 0.1583874225616455, ""2"": 0.13651487231254578, ""3"": 0.13035830855369568, ""4"": 0.13666360080242157, ""5"": 0.24510204792022705}, ""pruned_after_fold"": 5}"
76,PRUNED,0.161641779542,2026-06-03T17:57:13.146553,2026-06-03T17:57:54.181713,41.03516,155,2503.486142803118,"{""fold_scores"": {""1"": 0.15644748508930206, ""2"": 0.1333443522453308, ""3"": 0.13260100781917572, ""4"": 0.1378871500492096, ""5"": 0.2479289025068283}, ""pruned_after_fold"": 5}"
77,COMPLETE,0.157726143797,2026-06-03T17:57:54.196968,2026-06-03T17:58:43.632153,49.435185,180,16617.60509234833,"{""fold_scores"": {""1"": 0.15928301215171814, ""2"": 0.1355057656764984, ""3"": 0.1332646757364273, ""4"": 0.13782115280628204, ""5"": 0.24777734279632568, ""6"": 0.13270491361618042}, ""objective_metric"": ""median_r"", ""trial_seconds"": 49.32636523246765}"
78,PRUNED,0.161216381192,2026-06-03T17:58:43.650283,2026-06-03T17:59:24.803134,41.152851,190,1471.7952724155432,"{""fold_scores"": {""1"": 0.15573321282863617, ""2"": 0.1328708529472351, ""3"": 0.1319725513458252, ""4"": 0.13787278532981873, ""5"": 0.24763250350952148}, ""pruned_after_fold"": 5}"
79,COMPLETE,0.157573779424,2026-06-03T17:59:24.817615,2026-06-03T18:00:14.318963,49.501348,185,24450.828440624024,"{""fold_scores"": {""1"": 0.15944552421569824, ""2"": 0.13604053854942322, ""3"": 0.13300833106040955, ""4"": 0.13793997466564178, ""5"": 0.24663271009922028, ""6"": 0.1323755979537964}, ""objective_metric"": ""median_r"", ""trial_seconds"": 49.39381718635559}"
