condition,n_repeats,median_r_mean,median_r_std,median_r_ci_low,median_r_ci_high,mean_r_mean,mean_r_std,mean_r_ci_low,mean_r_ci_high,median_pattern_r_mean,median_pattern_r_std,median_pattern_r_ci_low,median_pattern_r_ci_high,two_vs_two_mean,two_vs_two_std,two_vs_two_ci_low,two_vs_two_ci_high,mean_r_nc_ge_0_mean,mean_r_nc_ge_0_std,mean_r_nc_ge_0_ci_low,mean_r_nc_ge_0_ci_high,mean_r_nc_ge_0_1_mean,mean_r_nc_ge_0_1_std,mean_r_nc_ge_0_1_ci_low,mean_r_nc_ge_0_1_ci_high,mean_r_nc_ge_0_3_mean,mean_r_nc_ge_0_3_std,mean_r_nc_ge_0_3_ci_low,mean_r_nc_ge_0_3_ci_high,median_r_nc_ge_0_mean,median_r_nc_ge_0_std,median_r_nc_ge_0_ci_low,median_r_nc_ge_0_ci_high,median_r_nc_ge_0_1_mean,median_r_nc_ge_0_1_std,median_r_nc_ge_0_1_ci_low,median_r_nc_ge_0_1_ci_high,median_r_nc_ge_0_3_mean,median_r_nc_ge_0_3_std,median_r_nc_ge_0_3_ci_low,median_r_nc_ge_0_3_ci_high,n_voxels_nc_ge_0_mean,n_voxels_nc_ge_0_std,n_voxels_nc_ge_0_ci_low,n_voxels_nc_ge_0_ci_high,n_voxels_nc_ge_0_1_mean,n_voxels_nc_ge_0_1_std,n_voxels_nc_ge_0_1_ci_low,n_voxels_nc_ge_0_1_ci_high,n_voxels_nc_ge_0_3_mean,n_voxels_nc_ge_0_3_std,n_voxels_nc_ge_0_3_ci_low,n_voxels_nc_ge_0_3_ci_high,noise_ceiling_median_mean,noise_ceiling_median_std,noise_ceiling_median_ci_low,noise_ceiling_median_ci_high,noise_ceiling_mean_mean,noise_ceiling_mean_std,noise_ceiling_mean_ci_low,noise_ceiling_mean_ci_high,permutation_reference_condition,median_r_delta_vs_reference,median_r_p_perm_vs_reference,median_r_q_bh_vs_reference,median_r_reject_bh_vs_reference,fdr_alpha
0,1,0.1301463544368744,0.0,0.1301463544368744,0.1301463544368744,0.15211476385593414,0.0,0.15211476385593414,0.15211476385593414,0.2971935272216797,0.0,0.2971935272216797,0.2971935272216797,0.893,0.0,0.893,0.893,0.15211476385593414,0.0,0.15211476385593414,0.15211476385593414,0.16843292117118835,0.0,0.16843292117118835,0.16843292117118835,0.25560662150382996,0.0,0.25560662150382996,0.25560662150382996,0.1301463544368744,0.0,0.1301463544368744,0.1301463544368744,0.15268263220787048,0.0,0.15268263220787048,0.15268263220787048,0.2532046437263489,0.0,0.2532046437263489,0.2532046437263489,12682.0,0.0,12682.0,12682.0,11138.0,0.0,11138.0,11138.0,4932.0,0.0,4932.0,4932.0,0.2565179467201233,0.0,0.2565179467201233,0.2565179467201233,0.26548904180526733,0.0,0.26548904180526733,0.26548904180526733,,,,,,
10,5,0.0729250118136406,0.018276015447456287,0.057097190618515016,0.0882117748260498,0.09407083094120025,0.018170810036498116,0.07895149737596512,0.1090921938419342,0.18884581029415132,0.15207256445872414,0.05284617245197296,0.32189510114490927,0.8145999999999999,0.039459346167923244,0.781,0.849,0.09407083094120025,0.018170810036498116,0.07895149737596512,0.1091901645064354,0.10456959009170533,0.0201165520151569,0.087965427339077,0.12127600908279419,0.16341081708669664,0.03343030744781705,0.13267839401960374,0.18847283720970154,0.0729250118136406,0.018276015447456287,0.05763824880123138,0.08885029256343842,0.0863306999206543,0.020873637230232132,0.06921668946743012,0.10445691645145416,0.15910894870758058,0.03903471129430541,0.11948111653327942,0.18492401838302613,12682.0,0.0,12682.0,12682.0,11138.0,0.0,11138.0,11138.0,4932.0,0.0,4932.0,4932.0,0.2565179467201233,0.0,0.2565179467201233,0.2565179467201233,0.26548904180526733,0.0,0.26548904180526733,0.26548904180526733,,,,,,
25,5,0.11491353809833527,0.011615675230875455,0.10365559905767441,0.12264232188463212,0.13804262429475783,0.009385271749696965,0.12862055748701096,0.14431787133216858,0.28203349411487577,0.11296647679474528,0.18922621607780457,0.37535159587860106,0.8744,0.015357083056361987,0.8598000000000001,0.8878,0.13804262429475783,0.009385271749696965,0.1284331664443016,0.14431787133216858,0.1530931919813156,0.01031130661886354,0.1426150918006897,0.16035597920417785,0.23475631773471833,0.015006988215119407,0.21968078315258027,0.24564037322998047,0.11491353809833527,0.011615675230875455,0.10365559905767441,0.12264232188463212,0.1343981146812439,0.012745086379796036,0.12146038413047791,0.14263519644737244,0.22852771878242492,0.019115468794429623,0.20940137505531312,0.24055383801460267,12682.0,0.0,12682.0,12682.0,11138.0,0.0,11138.0,11138.0,4932.0,0.0,4932.0,4932.0,0.2565179467201233,0.0,0.2565179467201233,0.2565179467201233,0.26548904180526733,0.0,0.26548904180526733,0.26548904180526733,10,0.04198852628469467,0.0091990800919908,0.0091990800919908,True,0.05
50,5,0.14198512732982635,0.0045775515446334625,0.13836008608341216,0.14645051658153535,0.16333912014961244,0.004633815669162515,0.15931851863861085,0.16735972166061402,0.40838982462882994,0.06074704647836245,0.35991965532302855,0.46542434096336366,0.898,0.006693280212272611,0.8924,0.9036,0.16333912014961244,0.004633815669162515,0.15931851863861085,0.16735972166061402,0.18060399293899537,0.004895278321156475,0.17640537321567534,0.18491879999637603,0.26903361082077026,0.006233125723706861,0.26392396092414855,0.2748285472393036,0.14198512732982635,0.0045775515446334625,0.13836008608341216,0.14645051658153535,0.16295104920864106,0.00619067268736539,0.1581304669380188,0.1682474742084739,0.2626056015491486,0.00805568313816759,0.2561143636703491,0.26973804235458376,12682.0,0.0,12682.0,12682.0,11138.0,0.0,11138.0,11138.0,4932.0,0.0,4932.0,4932.0,0.2565179467201233,0.0,0.2565179467201233,0.2565179467201233,0.26548904180526733,0.0,0.26548904180526733,0.26548904180526733,10,0.06906011551618575,0.0045995400459954,0.00623937606239376,True,0.05
100,5,0.16005317270755767,0.0035351485351819713,0.15676464140415192,0.16258283257484435,0.1782585084438324,0.003045792574646064,0.1755489617586136,0.18075635328888892,0.4539066135883331,0.03744328358638644,0.4212928652763367,0.4865203619003296,0.9144,0.004498888751680801,0.9108,0.9188000000000001,0.1782585084438324,0.003045792574646064,0.17541070580482482,0.18079327344894408,0.19678230881690978,0.003217492781159092,0.19383603632450103,0.1994312137365341,0.2888626217842102,0.0031061098394877993,0.28599817156791685,0.29136255383491516,0.16005317270755767,0.0035351485351819713,0.15676464140415192,0.16258283257484435,0.18256575763225555,0.004116601595622356,0.1785596251487732,0.18556867837905883,0.2835274159908295,0.004935638587539746,0.2790799915790558,0.2872691750526428,12682.0,0.0,12682.0,12682.0,11138.0,0.0,11138.0,11138.0,4932.0,0.0,4932.0,4932.0,0.2565179467201233,0.0,0.2565179467201233,0.2565179467201233,0.26548904180526733,0.0,0.26548904180526733,0.26548904180526733,10,0.08712816089391708,0.004999500049995001,0.00623937606239376,True,0.05
250,5,0.17123945355415343,0.0022934968111111937,0.16929545998573303,0.17325578331947328,0.18808955550193787,0.001991155907671595,0.18654650449752808,0.18997604250907899,0.5162134110927582,0.012687449380641149,0.5044207751750946,0.5260754585266113,0.9158000000000002,0.0019390719429665333,0.914,0.9174,0.18808955550193787,0.001991155907671595,0.18654650449752808,0.190029838681221,0.20710635483264922,0.0019474576122641837,0.20565578043460847,0.2089706391096115,0.2992762207984924,0.0012048951140230055,0.2982684075832367,0.30033777356147767,0.17123945355415343,0.0022934968111111937,0.16929545998573303,0.17325578331947328,0.19422470033168793,0.0022395652322237452,0.19239378869533538,0.19634272456169127,0.2960315227508545,0.0017209737385822312,0.2945828139781952,0.2976845741271973,12682.0,0.0,12682.0,12682.0,11138.0,0.0,11138.0,11138.0,4932.0,0.0,4932.0,4932.0,0.2565179467201233,0.0,0.2565179467201233,0.2565179467201233,0.26548904180526733,0.0,0.26548904180526733,0.26548904180526733,10,0.09831444174051283,0.0051994800519948,0.00623937606239376,True,0.05
500,5,0.1744913250207901,0.0005253032438235591,0.17406300604343414,0.1749506562948227,0.19110294580459594,0.0006070288015994153,0.19057577550411225,0.19163011610507966,0.5432478189468384,0.003497004159898417,0.54007568359375,0.5462140560150146,0.915,0.002607680962081062,0.9126000000000001,0.9172,0.19110294580459594,0.0006070288015994153,0.19057577550411225,0.19163011610507966,0.21025330424308777,0.0006000753526158336,0.20974128246307372,0.2107653260231018,0.30223325490951536,0.0008064980841525431,0.30150315165519714,0.302978926897049,0.1744913250207901,0.0005253032438235591,0.17406300604343414,0.1749940723180771,0.19699364006519318,0.0006769754846226184,0.19641669988632202,0.19758138656616211,0.2990446090698242,0.0008991038518902869,0.2983753025531769,0.2999550402164459,12682.0,0.0,12682.0,12682.0,11138.0,0.0,11138.0,11138.0,4932.0,0.0,4932.0,4932.0,0.2565179467201233,0.0,0.2565179467201233,0.2565179467201233,0.26548904180526733,0.0,0.26548904180526733,0.26548904180526733,10,0.1015663132071495,0.003999600039996,0.00623937606239376,True,0.05
750,5,0.1753627359867096,0.0,0.1753627359867096,0.1753627359867096,0.19209162890911102,0.0,0.19209162890911102,0.19209162890911102,0.544406533241272,0.0,0.544406533241272,0.544406533241272,0.915,0.0,0.915,0.915,0.19209162890911102,0.0,0.19209162890911102,0.19209162890911102,0.21120843291282654,0.0,0.21120843291282654,0.21120843291282654,0.3031092584133148,0.0,0.3031092584133148,0.3031092584133148,0.1753627359867096,0.0,0.1753627359867096,0.1753627359867096,0.19734704494476318,0.0,0.19734704494476318,0.19734704494476318,0.3003199100494385,0.0,0.3003199100494385,0.3003199100494385,12682.0,0.0,12682.0,12682.0,11138.0,0.0,11138.0,11138.0,4932.0,0.0,4932.0,4932.0,0.2565179467201233,0.0,0.2565179467201233,0.2565179467201233,0.26548904180526733,0.0,0.26548904180526733,0.26548904180526733,10,0.102437724173069,0.0044995500449955,0.00623937606239376,True,0.05
