number,state,value,datetime_start,datetime_complete,duration_seconds,param_alignment.n_components,param_encoding.ridge_alpha,user_attrs_json
16,COMPLETE,0.15549428512652716,2026-02-26T14:48:14.302220,2026-02-26T14:49:10.900583,56.598363,40,4970.649223280694,"{""fold_scores"": {""1"": 0.15611550211906433, ""2"": 0.1318972408771515, ""3"": 0.13365012407302856, ""4"": 0.1355503648519516, ""5"": 0.24150602519512177, ""6"": 0.13424645364284515}, ""objective_metric"": ""median_r"", ""trial_seconds"": 56.48269534111023}"
17,PRUNED,0.15771572589874266,2026-02-26T14:49:10.917128,2026-02-26T14:49:57.036806,46.119678,20,9791.485301673023,"{""fold_scores"": {""1"": 0.15383735299110413, ""2"": 0.13317832350730896, ""3"": 0.13052484393119812, ""4"": 0.13075441122055054, ""5"": 0.24028369784355164}, ""pruned_after_fold"": 5}"
18,PRUNED,0.15832848250865936,2026-02-26T14:49:57.053548,2026-02-26T14:50:44.827671,47.774123,50,177.94669170552368,"{""fold_scores"": {""1"": 0.15324094891548157, ""2"": 0.1298951506614685, ""3"": 0.13172973692417145, ""4"": 0.1357906013727188, ""5"": 0.24098597466945648}, ""pruned_after_fold"": 5}"
19,COMPLETE,0.15599706520636877,2026-02-26T14:50:44.841035,2026-02-26T14:51:41.616621,56.775586,60,15999.984563872746,"{""fold_scores"": {""1"": 0.15798595547676086, ""2"": 0.13240337371826172, ""3"": 0.13348938524723053, ""4"": 0.1354217231273651, ""5"": 0.24261747300624847, ""6"": 0.1340644806623459}, ""objective_metric"": ""median_r"", ""trial_seconds"": 56.64678382873535}"
20,PRUNED,0.1585541248321533,2026-02-26T14:51:41.639623,2026-02-26T14:52:29.180175,47.540552,65,977.3225803158878,"{""fold_scores"": {""1"": 0.15396159887313843, ""2"": 0.13065701723098755, ""3"": 0.13225722312927246, ""4"": 0.13523392379283905, ""5"": 0.2406608611345291}, ""pruned_after_fold"": 5}"
21,COMPLETE,0.15558035671710968,2026-02-26T14:52:29.197956,2026-02-26T14:53:26.058514,56.860558,45,28836.18247232665,"{""fold_scores"": {""1"": 0.1577228158712387, ""2"": 0.13306689262390137, ""3"": 0.13258957862854004, ""4"": 0.13507896661758423, ""5"": 0.24204540252685547, ""6"": 0.13297848403453827}, ""objective_metric"": ""median_r"", ""trial_seconds"": 56.737231969833374}"
22,COMPLETE,0.15719343970219293,2026-02-26T14:53:26.076288,2026-02-26T14:54:26.591361,60.515073,30,11265.345485084454,"{""fold_scores"": {""1"": 0.16126570105552673, ""2"": 0.13749048113822937, ""3"": 0.13554619252681732, ""4"": 0.13468824326992035, ""5"": 0.24118053913116455, ""6"": 0.13298948109149933}, ""objective_metric"": ""median_r"", ""trial_seconds"": 60.387837648391724}"
23,COMPLETE,0.1572705159584681,2026-02-26T14:54:26.619615,2026-02-26T14:55:28.042966,61.423351,30,16309.013802302296,"{""fold_scores"": {""1"": 0.16167950630187988, ""2"": 0.137807697057724, ""3"": 0.13548138737678528, ""4"": 0.13493862748146057, ""5"": 0.24109333753585815, ""6"": 0.13262253999710083}, ""objective_metric"": ""median_r"", ""trial_seconds"": 61.296066761016846}"
24,COMPLETE,0.15707502762476602,2026-02-26T14:55:28.068562,2026-02-26T14:56:28.016530,59.947968,25,24772.585424847937,"{""fold_scores"": {""1"": 0.1580771654844284, ""2"": 0.13853779435157776, ""3"": 0.13540545105934143, ""4"": 0.13350780308246613, ""5"": 0.24420250952243805, ""6"": 0.13271944224834442}, ""objective_metric"": ""median_r"", ""trial_seconds"": 59.8230242729187}"
25,COMPLETE,0.15430185943841934,2026-02-26T14:56:28.035376,2026-02-26T14:57:26.947882,58.912506,25,98977.63455528174,"{""fold_scores"": {""1"": 0.15550827980041504, ""2"": 0.1382114738225937, ""3"": 0.1324692964553833, ""4"": 0.13208040595054626, ""5"": 0.23795387148857117, ""6"": 0.1295878291130066}, ""objective_metric"": ""median_r"", ""trial_seconds"": 58.78024768829346}"
26,COMPLETE,0.15553818146387735,2026-02-26T14:57:26.967819,2026-02-26T14:58:30.042193,63.074374,30,492.8060878162358,"{""fold_scores"": {""1"": 0.1571142077445984, ""2"": 0.1348881721496582, ""3"": 0.13383376598358154, ""4"": 0.13422027230262756, ""5"": 0.24037502706050873, ""6"": 0.13279764354228973}, ""objective_metric"": ""median_r"", ""trial_seconds"": 62.94779396057129}"
27,COMPLETE,0.15595818310976028,2026-02-26T14:58:30.061344,2026-02-26T14:59:31.216108,61.154764,30,30.17155927883888,"{""fold_scores"": {""1"": 0.1568354368209839, ""2"": 0.13484425842761993, ""3"": 0.1329789161682129, ""4"": 0.1359076052904129, ""5"": 0.24183833599090576, ""6"": 0.13334454596042633}, ""objective_metric"": ""median_r"", ""trial_seconds"": 61.01090741157532}"
28,PRUNED,0.15664759874343873,2026-02-26T14:59:31.239285,2026-02-26T15:00:19.853019,48.613734,20,2522.98583831355,"{""fold_scores"": {""1"": 0.1518489122390747, ""2"": 0.1312558501958847, ""3"": 0.13002780079841614, ""4"": 0.13021257519721985, ""5"": 0.2398928552865982}, ""pruned_after_fold"": 5}"
29,COMPLETE,0.15724520136912665,2026-02-26T15:00:19.874156,2026-02-26T15:01:21.376637,61.502481,30,25576.438172490623,"{""fold_scores"": {""1"": 0.16217488050460815, ""2"": 0.13842475414276123, ""3"": 0.13529354333877563, ""4"": 0.13457798957824707, ""5"": 0.24085451662540436, ""6"": 0.13214552402496338}, ""objective_metric"": ""median_r"", ""trial_seconds"": 61.269548654556274}"
30,PRUNED,0.15835262835025787,2026-02-26T15:01:21.410927,2026-02-26T15:02:14.431026,53.020099,50,399.5598241022218,"{""fold_scores"": {""1"": 0.15355715155601501, ""2"": 0.13004964590072632, ""3"": 0.13188427686691284, ""4"": 0.13540086150169373, ""5"": 0.24087120592594147}, ""pruned_after_fold"": 5}"
31,COMPLETE,0.15724490582942963,2026-02-26T15:02:14.449957,2026-02-26T15:03:15.675293,61.225336,30,25573.465912372732,"{""fold_scores"": {""1"": 0.16217441856861115, ""2"": 0.13842439651489258, ""3"": 0.13529443740844727, ""4"": 0.1345774531364441, ""5"": 0.24085290729999542, ""6"": 0.13214582204818726}, ""objective_metric"": ""median_r"", ""trial_seconds"": 61.0547616481781}"
32,COMPLETE,0.15722605089346567,2026-02-26T15:03:15.704293,2026-02-26T15:04:16.627339,60.923046,30,25277.559905207745,"{""fold_scores"": {""1"": 0.16213679313659668, ""2"": 0.13835373520851135, ""3"": 0.13531872630119324, ""4"": 0.1345651000738144, ""5"": 0.24082545936107635, ""6"": 0.13215649127960205}, ""objective_metric"": ""median_r"", ""trial_seconds"": 60.75892210006714}"
33,COMPLETE,0.1554534211754799,2026-02-26T15:04:16.659216,2026-02-26T15:05:18.742488,62.083272,35,35336.20705743562,"{""fold_scores"": {""1"": 0.157819464802742, ""2"": 0.13344737887382507, ""3"": 0.1322031319141388, ""4"": 0.13493812084197998, ""5"": 0.2415570318698883, ""6"": 0.13275539875030518}, ""objective_metric"": ""median_r"", ""trial_seconds"": 61.8266806602478}"
34,PRUNED,0.15948671102523804,2026-02-26T15:05:18.773538,2026-02-26T15:06:07.456742,48.683204,40,4046.6671361778167,"{""fold_scores"": {""1"": 0.1555902063846588, ""2"": 0.13155338168144226, ""3"": 0.1333049237728119, ""4"": 0.13559435307979584, ""5"": 0.24139069020748138}, ""pruned_after_fold"": 5}"
35,COMPLETE,0.15606189519166946,2026-02-26T15:06:07.479605,2026-02-26T15:07:05.800693,58.321088,25,1194.3630906049934,"{""fold_scores"": {""1"": 0.15500865876674652, ""2"": 0.1352277547121048, ""3"": 0.13412702083587646, ""4"": 0.13374212384223938, ""5"": 0.2442621886730194, ""6"": 0.1340036243200302}, ""objective_metric"": ""median_r"", ""trial_seconds"": 58.1303768157959}"
36,COMPLETE,0.15724487354358038,2026-02-26T15:07:05.829706,2026-02-26T15:08:07.468255,61.638549,30,28100.502179624822,"{""fold_scores"": {""1"": 0.1621152013540268, ""2"": 0.13858157396316528, ""3"": 0.13528990745544434, ""4"": 0.13442766666412354, ""5"": 0.24078990519046783, ""6"": 0.13226498663425446}, ""objective_metric"": ""median_r"", ""trial_seconds"": 61.47348690032959}"
