number,state,value,datetime_start,datetime_complete,duration_seconds,param_alignment.n_components,param_encoding.ridge_alpha,user_attrs_json
16,COMPLETE,0.152636428674,2026-03-04T12:50:33.479115,2026-03-04T12:51:54.722083,81.242968,35,14427.409704331172,"{""fold_scores"": {""1"": 0.1556519865989685, ""2"": 0.1280955672264099, ""3"": 0.12871824204921722, ""4"": 0.13275860249996185, ""5"": 0.2376217544078827, ""6"": 0.13297241926193237}, ""objective_metric"": ""median_r"", ""trial_seconds"": 81.15367794036865}"
17,PRUNED,0.148917672038,2026-03-04T12:51:54.736240,2026-03-04T12:53:02.297973,67.561733,95,911.8724321968274,"{""fold_scores"": {""1"": 0.14679986238479614, ""2"": 0.12066337466239929, ""3"": 0.12311631441116333, ""4"": 0.12700702250003815, ""5"": 0.22700178623199463}, ""pruned_after_fold"": 5}"
18,COMPLETE,0.154230254392,2026-03-04T12:53:02.312782,2026-03-04T12:54:23.467376,81.154594,70,24934.773964317872,"{""fold_scores"": {""1"": 0.1577475666999817, ""2"": 0.13002394139766693, ""3"": 0.13000723719596863, ""4"": 0.13401831686496735, ""5"": 0.2398887574672699, ""6"": 0.13369570672512054}, ""objective_metric"": ""median_r"", ""trial_seconds"": 81.05858016014099}"
19,PRUNED,0.147677621245,2026-03-04T12:54:23.485052,2026-03-04T12:55:30.814821,67.329769,60,89.4136652625687,"{""fold_scores"": {""1"": 0.1454109400510788, ""2"": 0.11889582872390747, ""3"": 0.12189877033233643, ""4"": 0.12726663053035736, ""5"": 0.22491593658924103}, ""pruned_after_fold"": 5}"
20,PRUNED,0.148866561055,2026-03-04T12:55:30.830248,2026-03-04T12:56:37.942504,67.112256,110,868.1035149258714,"{""fold_scores"": {""1"": 0.1467042863368988, ""2"": 0.12059183418750763, ""3"": 0.12307628989219666, ""4"": 0.12699835002422333, ""5"": 0.22696204483509064}, ""pruned_after_fold"": 5}"
21,COMPLETE,0.155857421458,2026-03-04T12:56:37.959459,2026-03-04T12:57:58.439685,80.480226,30,28836.18247232665,"{""fold_scores"": {""1"": 0.1610327512025833, ""2"": 0.13532871007919312, ""3"": 0.13207082450389862, ""4"": 0.1334322690963745, ""5"": 0.24104958772659302, ""6"": 0.13223038613796234}, ""objective_metric"": ""median_r"", ""trial_seconds"": 80.3865339756012}"
22,COMPLETE,0.151977166533,2026-03-04T12:57:58.455952,2026-03-04T12:59:18.844936,80.388984,40,11265.345485084454,"{""fold_scores"": {""1"": 0.15461301803588867, ""2"": 0.12756893038749695, ""3"": 0.1281450390815735, ""4"": 0.13201864063739777, ""5"": 0.2367893010377884, ""6"": 0.13272807002067566}, ""objective_metric"": ""median_r"", ""trial_seconds"": 80.29710292816162}"
23,COMPLETE,0.153472768764,2026-03-04T12:59:18.859288,2026-03-04T13:00:39.607442,80.748154,75,19175.10445242737,"{""fold_scores"": {""1"": 0.1569216251373291, ""2"": 0.12913118302822113, ""3"": 0.12936000525951385, ""4"": 0.13343298435211182, ""5"": 0.2387159913778305, ""6"": 0.13327482342720032}, ""objective_metric"": ""median_r"", ""trial_seconds"": 80.65316128730774}"
24,PRUNED,0.153557488322,2026-03-04T13:00:39.622151,2026-03-04T13:01:46.841674,67.219523,30,3910.3995224234163,"{""fold_scores"": {""1"": 0.1537984311580658, ""2"": 0.12735486030578613, ""3"": 0.12702089548110962, ""4"": 0.12855041027069092, ""5"": 0.2310628443956375}, ""pruned_after_fold"": 5}"
25,COMPLETE,0.15457470715,2026-03-04T13:01:46.853175,2026-03-04T13:03:07.314946,80.461771,65,27831.083246110913,"{""fold_scores"": {""1"": 0.15812408924102783, ""2"": 0.13031581044197083, ""3"": 0.1304376870393753, ""4"": 0.1341763585805893, ""5"": 0.2406894713640213, ""6"": 0.13370482623577118}, ""objective_metric"": ""median_r"", ""trial_seconds"": 80.36447310447693}"
